,Name,intensity_std,intensity_mean,phase_std,phase_mean,mod_std,mod_mean,phaselifetime_std,phaselifetime_mean,modulationlifetime_std,modulationlifetime_mean
298,PET,0.004633283,0.068965,2.3751898,16.61887,0.055352453,0.89325404,0.096802935,1.5869151,0.5168439,2.6502535
299,PET,0.004522568,0.0662269,2.3817148,16.068306,0.05704337,0.8968041,0.09966873,1.5314567,0.5369449,2.6018713
300,PET,0.004572226,0.07696424,2.0946894,17.005304,0.05030129,0.89247316,0.08954924,1.6252388,0.48059732,2.6529596
301,PET,0.004729281,0.07502249,2.1721618,16.833248,0.051313568,0.89148366,0.09112862,1.6079915,0.48687485,2.6710265
302,PET,0.005309051,0.062094003,2.6829476,18.499321,0.07277996,0.8751355,0.1111713,1.7797223,0.6523525,2.9700823
303,PET,0.007243057,0.10955,1.3867165,18.872316,0.04158926,0.87890273,0.07816572,1.8140339,0.44567892,2.8737783
304,PET,0.004314041,0.035415724,5.1112638,18.100092,0.24373332,0.850015,0.1928158,1.7511806,0.9725621,3.3777366
305,PET,0.007330592,0.057247028,2.9710355,18.4537,0.07864905,0.87655985,0.21710975,1.7763414,0.6832918,2.9549236
306,PET,0.004515184,0.05826017,2.7637227,15.90252,0.06365427,0.89560795,0.124304615,1.5162311,0.5874275,2.629526
307,PET,0.00559969,0.12779166,1.123848,16.70908,0.031347793,0.9067464,0.068178736,1.593555,0.34148782,2.4625955
308,PET,0.004937423,0.090127565,1.7951121,16.559206,0.043379057,0.90459305,0.082984135,1.5794206,0.43574044,2.4886432
309,PET,0.004881261,0.08589905,1.8900977,16.896446,0.045462925,0.9014976,0.08319723,1.6137675,0.45486975,2.5276678
310,POM,0.003154543,0.015232641,9.811744,14.705542,0.16616295,0.8157458,0.45690504,1.4520726,1.6752276,3.9078848
311,POM,0.003124608,0.014533715,10.170987,14.463484,0.1693352,0.81150025,0.6125295,1.4330754,1.7317822,3.97181
312,POM,0.003103433,0.014156352,10.328588,13.846097,0.17356837,0.8108389,0.52951485,1.3738854,1.7646624,3.9901278
313,POM,0.003088612,0.013759423,10.500523,13.531626,0.1753559,0.80848825,0.4885346,1.3448138,1.7896336,4.026453
314,POM,0.003079624,0.013417789,10.771937,13.108661,0.17527516,0.79522043,0.48933318,1.3071597,1.8588084,4.2130833
315,POM,0.003096198,0.013923926,10.518491,13.8705435,0.17275499,0.799503,0.54562205,1.3788183,1.7915419,4.147647
316,POM,0.003190229,0.015751285,9.604628,15.163345,0.16164587,0.80955285,0.719701,1.49612,1.6168046,3.9861133
317,POM,0.003161634,0.015660932,9.673324,14.836527,0.16124581,0.79540867,0.5054637,1.4635348,1.6411705,4.1858597
318,POM,0.003162136,0.015607979,9.693591,15.185066,0.16175973,0.7957964,0.5697033,1.499087,1.6395239,4.180896
319,POM,0.003151645,0.014599985,10.136661,14.57964,0.16988672,0.8113887,0.65066415,1.4440843,1.7330844,3.9755716
320,POM,0.003166669,0.015500356,9.731673,15.355313,0.16401367,0.8091248,0.5441166,1.5161761,1.6598251,3.9972928
321,POM,0.003097605,0.014284329,10.300124,13.890229,0.16927178,0.8003371,0.50974417,1.3779547,1.7479608,4.129953
