,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
2133,PE-LD,0.004145028,0.003694378,0.001636625,2.68E-06,0.001512238,0.027560581,-0.197884712,-0.226709315,0.252619433,0.063816578,0.319474462,1.707308497
2134,PE-LD,0.004130828,0.003680645,0.001637524,2.68E-06,0.001513764,0.027557529,-0.194921098,-0.223475645,0.253343953,0.064183158,0.320811521,1.718729216
2135,PE-LD,0.004110099,0.003659281,0.001636196,2.68E-06,0.001512238,0.027523958,-0.194392493,-0.222991112,0.254122339,0.064578163,0.32198802,1.717326275
2136,PE-LD,0.004085671,0.003637917,0.001628914,2.65E-06,0.001503082,0.027438503,-0.194122711,-0.222799728,0.254277388,0.06465699,0.322002063,1.721429771
2137,PE-LD,0.004070443,0.003622658,0.001626661,2.65E-06,0.001503082,0.027400354,-0.193194737,-0.221642454,0.254738795,0.064891854,0.322790836,1.719786708
2138,PE-LD,0.004076026,0.00362571,0.001634006,2.67E-06,0.001509186,0.027603308,-0.19176971,-0.220174061,0.255386348,0.065222187,0.324096209,1.724510213
2139,PE-LD,0.004074523,0.003622658,0.001638072,2.68E-06,0.001513764,0.027641458,-0.191138787,-0.219512194,0.25601746,0.06554494,0.324991023,1.721281728
2140,PE-LD,0.004063355,0.003611976,0.00163837,2.68E-06,0.001513764,0.027697919,-0.190226766,-0.218534752,0.256611919,0.065849677,0.326301402,1.724489341
2141,PE-LD,0.004055933,0.003604346,0.001637608,2.68E-06,0.001513764,0.027427822,-0.189945757,-0.218120805,0.256828145,0.065960696,0.326529647,1.722790588
2142,PE-LD,0.004051559,0.003601294,0.001637637,2.68E-06,0.001513764,0.02752701,-0.189478206,-0.217654171,0.257007841,0.06605303,0.326750519,1.730790915
